player_id,player_name,position,team,opponent,offensive_play_caller,defensive_play_caller,play_caller_matchup_score,play_caller_historical_ppr,play_caller_sample_size,player_vs_defensive_caller_score,player_vs_defensive_caller_ppr,player_vs_defensive_caller_sample_size,model_score,position_rank,recommendation
12519,"Luther Burden",WR,CHI,MIN,"Ben Johnson","Brian Flores",54,30.5,4,50,,0,40.3,37,SIT
11620,"Rome Odunze",WR,CHI,MIN,"Ben Johnson","Brian Flores",54,30.5,4,33,9.15,4,40.2,38,SIT
9756,"Jordan Addison",WR,MIN,CHI,"Kevin O'Connell","Dennis Allen",54,31.3,3,44,10,1,39.8,39,SIT
6783,"Jerry Jeudy",WR,CLE,TB,"Todd Monken","Todd Bowles",51,29.1,1,50,,0,39.1,40,SIT
11783,"Ryan Flournoy",WR,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,50,,0,39.1,41,SIT
10222,"Jayden Reed",WR,GB,NYJ,"Matt LaFleur","Aaron Glenn",66,37.43,4,36,9.95,4,38.8,42,SIT
12860,"Theo Wease",WR,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,38.8,43,SIT
12514,"Emeka Egbuka",WR,TB,CLE,"Zac Robinson","Mike Rutenberg",50,,0,50,,0,38.7,44,SIT
8200,"Kevin Austin",WR,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,50,,0,38.7,45,SIT
11627,"Troy Franklin",WR,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,45,10.6,1,38.7,46,SIT
5872,"Deebo Samuel",WR,SF,MIA,"Kyle Shanahan","Jeff Hafley",38,12.1,1,50,,0,38.5,47,SIT
11637,"Keon Coleman",WR,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,50,,0,38.5,48,SIT
1479,"Keenan Allen",WR,IND,KC,"Shane Steichen","Steve Spagnuolo",48,26.1,1,50,,0,38.4,49,SIT
4037,"Chris Godwin",WR,TB,CLE,"Zac Robinson","Mike Rutenberg",50,,0,50,,0,38.3,50,SIT
8121,"Romeo Doubs",WR,NE,PIT,"Josh McDaniels","Patrick Graham",58,39.7,1,29,8,4,38.1,51,SIT
6819,"Michael Pittman",WR,PIT,NE,"Mike McCarthy","Zak Kuhr",50,,0,51,14.45,2,37.9,52,SIT
8142,"Alec Pierce",WR,IND,KC,"Shane Steichen","Steve Spagnuolo",48,26.1,1,34,6.35,2,37.7,53,SIT
11635,"Ladd McConkey",WR,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,37.7,54,SIT
13301,"Antonio Williams",WR,WAS,DAL,"David Blough","Christian Parker",50,,0,50,,0,37.5,55,SIT
11624,"Xavier Worthy",WR,KC,IND,"Andy Reid","Lou Anarumo",48,26.92,4,36,7.05,2,37.3,56,SIT
9500,"Josh Downs",WR,IND,KC,"Shane Steichen","Steve Spagnuolo",48,26.1,1,34,3,1,37,57,SIT
13294,"Makai Lemon",WR,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,50,,0,36.7,58,SIT
10213,"Tre Tucker",WR,LV,LAC,"Klint Kubiak","Chris O'Leary",50,,0,50,,0,36.7,59,SIT
11631,"Brian Thomas",WR,JAX,DEN,"Liam Coen","Vance Joseph",54,31.8,2,50,,0,36.3,60,SIT
4177,"Mack Hollins",WR,NE,PIT,"Josh McDaniels","Patrick Graham",58,39.7,1,32,1.3,1,35.9,61,SIT
12540,"Chimere Dike",WR,TEN,PHI,"Brian Daboll","Vic Fangio",47,25.1,2,50,,0,35.6,62,SIT
11646,"Jalen Coker",WR,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,43,9.2,1,35.6,63,SIT
11628,"Marvin Harrison",WR,ARI,SEA,"Mike LaFleur","Mike Macdonald",60,41.5,1,50,,0,35.6,64,SIT
11625,"Adonai Mitchell",WR,NYJ,GB,"Frank Reich","Jonathan Gannon",52,31,1,50,,0,35.4,65,SIT
11610,"Malik Washington",WR,MIA,SF,"Bobby Slowik","Raheem Morris",50,,0,50,,0,35.2,66,SIT
13296,"Caleb Douglas",WR,MIA,SF,"Bobby Slowik","Raheem Morris",50,,0,50,,0,35.1,67,SIT
13285,"Malachi Fields",WR,NYG,LA,"Matt Nagy","Chris Shula",50,,0,50,,0,35.1,68,SIT
13298,"KC Concepcion",WR,CLE,TB,"Todd Monken","Todd Bowles",51,29.1,1,50,,0,35,69,SIT
12499,"Elic Ayomanor",WR,TEN,PHI,"Brian Daboll","Vic Fangio",47,25.1,2,50,,0,34.7,70,SIT
13281,"Jordyn Tyson",WR,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,50,,0,34.7,71,SIT
13346,"Denzel Boston",WR,CLE,TB,"Todd Monken","Todd Bowles",51,29.1,1,50,,0,34.6,72,SIT
6853,"Van Jefferson",WR,WAS,DAL,"David Blough","Christian Parker",50,,0,32,1,1,34.5,73,SIT
9494,"Marvin Mims",WR,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,50,,0,34.1,74,SIT
12492,"Pat Bryant",WR,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,43,9.2,1,33.7,75,SIT
5848,"Marquise Brown",WR,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,40,9.05,2,33.6,76,SIT
13279,"Carnell Tate",WR,TEN,PHI,"Brian Daboll","Vic Fangio",47,25.1,2,50,,0,33.5,77,SIT
13274,"Germie Bernard",WR,PIT,NE,"Mike McCarthy","Zak Kuhr",50,,0,50,,0,33.5,78,SIT
11626,"Xavier Legette",WR,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,56,18.3,1,33.1,79,SIT
11638,"Ricky Pearsall",WR,SF,MIA,"Kyle Shanahan","Jeff Hafley",38,12.1,1,30,0,1,33,80,SIT
7090,"Darnell Mooney",WR,NYG,LA,"Matt Nagy","Chris Shula",50,,0,23,6.25,4,32.8,81,SIT
13329,"Malik Benson",WR,LV,LAC,"Klint Kubiak","Chris O'Leary",50,,0,50,,0,32.8,82,SIT
5970,"Greg Dortch",WR,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,16,4.28,4,32.6,83,SIT
13320,"Zachariah Branch",WR,ATL,CAR,"Tommy Rees","Ejiro Evero",50,,0,50,,0,32.6,84,SIT
10444,"Cedric Tillman",WR,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,50,,0,32.5,85,SIT
4981,"Calvin Ridley",WR,TEN,PHI,"Brian Daboll","Vic Fangio",47,25.1,2,50,,0,31.8,86,SIT
13411,"Zavion Thomas",WR,CHI,MIN,"Ben Johnson","Brian Flores",54,30.5,4,50,,0,31.8,87,SIT
9486,"Dontayvion Wicks",WR,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,19,2.97,3,31.7,88,SIT
12523,"Jimmy Horn",WR,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,50,,0,31.7,89,SIT
8676,"Rashid Shaheed",WR,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,34,6.3,2,31.7,90,SIT
8147,"John Metchie",WR,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,50,,0,31.6,91,SIT
11608,"Isaiah Williams",WR,NYJ,GB,"Frank Reich","Jonathan Gannon",52,31,1,50,,0,31.5,92,SIT
4039,"Cooper Kupp",WR,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,25,6.9,4,31.2,93,SIT
13276,"Omar Cooper",WR,NYJ,GB,"Frank Reich","Jonathan Gannon",52,31,1,50,,0,31,94,SIT
12509,"Tre' Harris",WR,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,30.8,95,SIT
6271,"Olamide Zaccheaus",WR,ATL,CAR,"Tommy Rees","Ejiro Evero",50,,0,42,8.2,1,30.6,96,SIT
8917,"KaVontae Turpin",WR,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,50,,0,30.5,97,SIT
8125,"Calvin Austin",WR,NYG,LA,"Matt Nagy","Chris Shula",50,,0,50,,0,30.4,98,SIT
12501,"Matthew Golden",WR,GB,NYJ,"Matt LaFleur","Aaron Glenn",66,37.43,4,50,,0,30,99,SIT
